# Freq (Hz)	LIGO_Hanford_PSD (1/Hz)	LIGO_Livingston_PSD (1/Hz)	
85.125000	8.0682750e-47	2.0114300e-46
85.250000	8.0523000e-47	2.0054800e-46
85.375000	8.0365250e-47	1.9995300e-46
85.500000	8.0210250e-47	1.9936650e-46
85.625000	8.0053250e-47	1.9877680e-46
85.750000	7.9897000e-47	1.9819570e-46
85.875000	7.9742250e-47	1.9761770e-46
86.000000	7.9589750e-47	1.9704400e-46
86.125000	7.9434750e-47	1.9646470e-46
86.250000	7.9284000e-47	1.9588750e-46
86.375000	7.9134750e-47	1.9531930e-46
86.500000	7.8985250e-47	1.9475600e-46
86.625000	7.8835500e-47	1.9419250e-46
86.750000	7.8686250e-47	1.9363100e-46
86.875000	7.8540250e-47	1.9307270e-46
87.000000	7.8393750e-47	1.9251370e-46
87.125000	7.8246500e-47	1.9195770e-46
87.250000	7.8101250e-47	1.9140650e-46
87.375000	7.7956750e-47	1.9085950e-46
87.500000	7.7812000e-47	1.9030850e-46
87.625000	7.7670750e-47	1.8976320e-46
87.750000	7.7528500e-47	1.8922300e-46
87.875000	7.7389250e-47	1.8868780e-46
88.000000	7.7249750e-47	1.8815180e-46
88.125000	7.7109000e-47	1.8762250e-46
88.250000	7.6971500e-47	1.8709350e-46
88.375000	7.6835250e-47	1.8657100e-46
88.500000	7.6700250e-47	1.8604750e-46
88.625000	7.6567500e-47	1.8552450e-46
88.750000	7.6431000e-47	1.8501550e-46
88.875000	7.6296250e-47	1.8448670e-46
89.000000	7.6162750e-47	1.8396930e-46
89.125000	7.6030000e-47	1.8345550e-46
89.250000	7.5899500e-47	1.8294050e-46
89.375000	7.5768250e-47	1.8243030e-46
89.500000	7.5638750e-47	1.8192430e-46
89.625000	7.5511500e-47	1.8142020e-46
89.750000	7.5383250e-47	1.8091770e-46
89.875000	7.5258250e-47	1.8041500e-46
90.000000	7.5130250e-47	1.7991750e-46
90.125000	7.5005250e-47	1.7942400e-46
90.250000	7.4880000e-47	1.7894030e-46
90.375000	7.4757500e-47	1.7845600e-46
90.500000	7.4632250e-47	1.7796650e-46
90.625000	7.4510000e-47	1.7748200e-46
90.750000	7.4388250e-47	1.7699530e-46
90.875000	7.4265250e-47	1.7651170e-46
91.000000	7.4145750e-47	1.7602650e-46
91.125000	7.4026500e-47	1.7554620e-46
91.250000	7.3910250e-47	1.7507150e-46
91.375000	7.3793250e-47	1.7459520e-46
91.500000	7.3673500e-47	1.7412200e-46
91.625000	7.3555750e-47	1.7365250e-46
91.750000	7.3439250e-47	1.7318420e-46
91.875000	7.3324500e-47	1.7272000e-46
92.000000	7.3212000e-47	1.7225780e-46
92.125000	7.3097500e-47	1.7179770e-46
92.250000	7.2985000e-47	1.7134270e-46
92.375000	7.2872500e-47	1.7089000e-46
92.500000	7.2762500e-47	1.7043750e-46
92.625000	7.2650250e-47	1.6998670e-46
92.750000	7.2538750e-47	1.6953980e-46
92.875000	7.2428500e-47	1.6909020e-46
93.000000	7.2319750e-47	1.6864520e-46
93.125000	7.2212500e-47	1.6820550e-46
93.250000	7.2103000e-47	1.6776050e-46
93.375000	7.1995750e-47	1.6732070e-46
93.500000	7.1888750e-47	1.6688570e-46
93.625000	7.1783000e-47	1.6644800e-46
93.750000	7.1678000e-47	1.6601620e-46
93.875000	7.1571750e-47	1.6558650e-46
94.000000	7.1466750e-47	1.6515850e-46
94.125000	7.1363000e-47	1.6473230e-46
94.250000	7.1260500e-47	1.6430850e-46
94.375000	7.1157250e-47	1.6388430e-46
94.500000	7.1054000e-47	1.6346570e-46
94.625000	7.0952750e-47	1.6304100e-46
94.750000	7.0852000e-47	1.6262370e-46
