# Freq (Hz)	LIGO_Hanford_PSD (1/Hz)	LIGO_Livingston_PSD (1/Hz)	Virgo_PSD (1/Hz)
99.500000	1.1977700e-46	5.4772500e-47	1.1474200e-45
99.750000	1.1925200e-46	5.4703000e-47	1.4580300e-45
100.000000	1.1874150e-46	5.4632000e-47	1.9250450e-45
100.250000	1.1822150e-46	5.4562000e-47	2.6617150e-45
100.500000	1.1771800e-46	5.4488500e-47	3.7862250e-45
100.750000	1.1721500e-46	5.4420000e-47	5.0454500e-45
101.000000	1.1671650e-46	5.4354500e-47	5.5382000e-45
101.250000	1.1621600e-46	5.4287500e-47	4.6326850e-45
101.500000	1.1572350e-46	5.4221000e-47	3.2810650e-45
101.750000	1.1522700e-46	5.4155500e-47	2.3135500e-45
102.000000	1.1474000e-46	5.4089500e-47	1.6945150e-45
102.250000	1.1425900e-46	5.4023500e-47	1.2930900e-45
102.500000	1.1379250e-46	5.3957000e-47	1.0238050e-45
102.750000	1.1332650e-46	5.3895500e-47	8.3894000e-46
103.000000	1.1286000e-46	5.3829500e-47	7.0114500e-46
103.250000	1.1240200e-46	5.3760500e-47	5.7545000e-46
103.500000	1.1194750e-46	5.3704000e-47	4.8427850e-46
103.750000	1.1149200e-46	5.3645000e-47	4.2095250e-46
104.000000	1.1104350e-46	5.3586000e-47	3.7612300e-46
104.250000	1.1059050e-46	5.3532000e-47	3.4420300e-46
104.500000	1.1014300e-46	5.3473000e-47	3.2022600e-46
104.750000	1.0969250e-46	5.3414000e-47	3.0238000e-46
105.000000	1.0925300e-46	5.3355500e-47	2.8930100e-46
105.250000	1.0880700e-46	5.3293000e-47	2.7925650e-46
105.500000	1.0837900e-46	5.3234500e-47	2.7143400e-46
105.750000	1.0794500e-46	5.3175500e-47	2.6533700e-46
106.000000	1.0752500e-46	5.3124000e-47	2.6071350e-46
106.250000	1.0709950e-46	5.3069000e-47	2.5694100e-46
106.500000	1.0668200e-46	5.3017000e-47	2.5401650e-46
106.750000	1.0626250e-46	5.2964500e-47	2.5192900e-46
107.000000	1.0585200e-46	5.2912000e-47	2.5029000e-46
107.250000	1.0543900e-46	5.2861500e-47	2.4895400e-46
107.500000	1.0503350e-46	5.2811000e-47	2.4792900e-46
107.750000	1.0462800e-46	5.2758000e-47	2.4722200e-46
108.000000	1.0423500e-46	5.2706000e-47	2.4673550e-46
108.250000	1.0384100e-46	5.2654500e-47	2.4640100e-46
108.500000	1.0344600e-46	5.2603500e-47	2.4605000e-46
108.750000	1.0305800e-46	5.2558500e-47	2.4587500e-46
109.000000	1.0266750e-46	5.2507000e-47	2.4503250e-46
109.250000	1.0228050e-46	5.2460000e-47	2.4463500e-46
109.500000	1.0189950e-46	5.2412000e-47	2.4497800e-46
109.750000	1.0151850e-46	5.2363500e-47	2.4536700e-46
110.000000	1.0114800e-46	5.2318500e-47	2.4575150e-46
110.250000	1.0077550e-46	5.2276500e-47	2.4610650e-46
110.500000	1.0040850e-46	5.2232000e-47	2.4648800e-46
110.750000	1.0004500e-46	5.2185000e-47	2.4682650e-46
111.000000	9.9676500e-47	5.2142500e-47	2.4723800e-46
111.250000	9.9323000e-47	5.2097000e-47	2.4771550e-46
111.500000	9.8966000e-47	5.2054500e-47	2.4816850e-46
111.750000	9.8614000e-47	5.2018500e-47	2.4868100e-46
