mass_1	mass_2	phase	time	distance	a_1	a_2	tilt_1	tilt_2	phi_12	phi_jl	theta_jn	psi	ra	dec
0.7234	0.62027	0.00115	0.86425	0.19095	0.01023	0.00547	0.0473	0.01974	0.00343	0.08524	0.307	0.00564	0.94309	0.78889
0.71538	0.61705	0.00113	0.85517	0.19311	0.0039	0.00722	0.07668	0.02244	0.00146	0.11212	0.27191	0.00704	0.96518	0.83728
0.72854	0.62115	0.00073	0.89639	0.2024	0.00871	0.0038	0.06139	0.02113	0.00103	0.08927	0.28841	0.00477	0.94979	0.78904
0.67718	0.63341	0.00054	0.87744	0.24883	0.00675	0.00331	0.0541	0.02174	0.00101	0.11535	0.32956	0.00373	0.93961	0.76762
0.68595	0.5854	0.00074	0.92943	0.18582	0.01041	0.00615	0.04027	0.01469	0.00117	0.0698	0.33269	0.00586	0.96233	0.77217
0.65243	0.57586	0.00076	0.8881	0.19522	0.01363	0.00524	0.04011	0.01596	0.00101	0.06458	0.32823	0.00442	0.93061	0.77964
0.67422	0.61271	0.00081	0.91693	0.21201	0.01219	0.00319	0.04875	0.02297	0.00413	0.05977	0.30711	0.00452	0.93004	0.8316
0.65882	0.59841	0.00217	0.90853	0.18564	0.00218	0.0071	0.04331	0.00948	0.00061	0.09738	0.28068	0.00514	0.96706	0.80613
0.70401	0.61264	0.00056	0.92816	0.2106	0.01706	0.00576	0.04517	0.01218	0.00444	0.06524	0.33023	0.00392	0.93086	0.83024
0.70606	0.56622	0.00056	0.9655	0.18948	0.01521	0.00779	0.0405	0.00813	0.00159	0.06732	0.26183	0.0052	0.95126	0.84066
0.73319	0.58814	0.00035	0.96433	0.1847	0.01764	0.00655	0.0281	0.01449	0.00395	0.08992	0.27245	0.00748	0.96562	0.84842
0.59708	0.59019	0.00123	0.97122	0.2086	0.02075	0.00146	0.02894	0.00952	0.00097	0.05747	0.30973	0.0057	0.88302	0.74605
0.62584	0.58109	0.00128	0.95468	0.21168	0.01761	0.00561	0.02868	0.01457	0.00105	0.04882	0.32982	0.00344	0.91895	0.76467
0.60789	0.58021	0.00053	0.93512	0.24283	0.02977	0.00678	0.02819	0.00926	0.00082	0.08761	0.34732	0.00469	0.93984	0.7693
0.61478	0.6012	0.00063	0.95221	0.21997	0.01256	0.00363	0.03678	0.01623	0.00175	0.06193	0.29422	0.00388	0.92982	0.79136
0.65766	0.63293	0.00149	0.90946	0.24003	0.01655	0.00658	0.04061	0.01181	0.0016	0.06071	0.32263	0.00632	0.93313	0.77684
0.67635	0.60513	0.00105	0.95942	0.19242	0.01448	0.00382	0.039	0.01404	0.00474	0.07206	0.3691	0.00572	0.94102	0.74032
0.68918	0.60051	0.00056	0.91696	0.20097	0.00943	0.0068	0.04201	0.01044	0.00422	0.06453	0.28623	0.0039	0.99153	0.82407
0.62006	0.5899	0.00138	0.95397	0.21267	0.01746	0.00831	0.03459	0.01228	0.00138	0.03346	0.29837	0.0059	0.93962	0.80164
0.64348	0.58904	0.00073	0.96893	0.19971	0.00329	0.00504	0.03229	0.01002	0.00135	0.04741	0.30189	0.00332	0.95739	0.78598
0.62811	0.646	0.0003	0.87631	0.23312	0.01568	0.0107	0.02989	0.00767	0.00428	0.03468	0.28592	0.00526	0.91911	0.78316
0.64252	0.58279	0.00117	0.90773	0.17172	0.00384	0.00287	0.04796	0.00985	0.00416	0.09945	0.2798	0.00486	0.95894	0.78927
0.60104	0.62721	0.00104	0.92413	0.30352	0.00427	0.00226	0.04394	0.01337	0.00313	0.09254	0.31278	0.00486	0.94953	0.74037
0.71709	0.62006	0.00065	0.92608	0.1944	0.0033	0.00353	0.05282	0.01923	0.00103	0.14609	0.3327	0.00521	0.92833	0.85183
0.71192	0.60501	0.00147	0.94413	0.22893	0.01881	0.00362	0.03453	0.01599	0.00155	0.07141	0.42095	0.00689	0.92645	0.81992
0.65197	0.60273	0.00171	0.95084	0.22636	0.00909	0.00879	0.05242	0.01306	0.00123	0.06567	0.28893	0.00401	0.94162	0.84265
0.67862	0.62955	0.00033	0.91287	0.18512	0.00236	0.0021	0.05815	0.01153	0.00318	0.09441	0.33052	0.00496	0.89486	0.82171
0.72996	0.61466	0.00128	0.90225	0.17931	0.02326	0.00386	0.04099	0.01881	0.00111	0.06696	0.32162	0.00591	0.93513	0.79757
0.68517	0.61036	0.0009	0.91448	0.19559	0.0071	0.00514	0.04577	0.01326	0.00389	0.0732	0.28918	0.00596	0.93421	0.82679
0.6784	0.62569	0.00133	0.92566	0.19737	0.02595	0.00524	0.05304	0.01603	0.00143	0.05737	0.31682	0.00565	0.937	0.79693
0.61626	0.63072	0.00135	0.9066	0.25027	0.02505	0.00618	0.04382	0.0143	0.001	0.05397	0.28408	0.0031	0.9287	0.76242
0.60062	0.60745	0.0011	0.92052	0.20893	0.00838	0.0027	0.0386	0.01051	0.00077	0.07244	0.3245	0.00846	0.92293	0.67719
0.66567	0.61858	0.00119	0.93038	0.19491	0.00831	0.00381	0.05546	0.01855	0.0031	0.05221	0.2573	0.00391	0.90352	0.77677
0.63049	0.62748	0.00053	0.89874	0.22152	0.01156	0.00479	0.06209	0.01504	0.00054	0.07944	0.36247	0.00493	0.90173	0.69373
0.67162	0.60424	0.00118	0.90585	0.19036	0.02604	0.00486	0.04583	0.00933	0.00099	0.05493	0.39517	0.00562	0.89385	0.70364
0.63926	0.59105	0.00128	0.92464	0.18818	0.01432	0.00355	0.03484	0.01078	0.00342	0.06538	0.31173	0.00429	0.87526	0.70451
0.63074	0.60327	0.00119	0.92451	0.20615	0.02993	0.00464	0.02818	0.00843	0.00082	0.03587	0.3338	0.00464	0.88392	0.70772
0.6477	0.58685	0.00166	0.95556	0.20647	0.02499	0.00488	0.01945	0.01178	0.00119	0.07054	0.3326	0.00394	0.91952	0.74353
0.66562	0.61371	0.00064	0.93652	0.22151	0.00556	0.00901	0.04992	0.01252	0.00128	0.03376	0.32418	0.00647	0.94605	0.74313
0.63112	0.61999	0.00123	0.89475	0.19684	0.0103	0.00502	0.04305	0.0136	0.00065	0.05913	0.30677	0.00669	0.90048	0.67048
0.71019	0.59949	0.0008	0.8446	0.2134	0.00631	0.00225	0.04919	0.01738	0.00127	0.09679	0.31634	0.00622	0.92948	0.76049
0.68826	0.63366	0.00059	0.82042	0.21603	0.00532	0.00336	0.04985	0.0204	0.00053	0.08005	0.30701	0.00765	0.91676	0.74505
0.63541	0.62492	0.00145	0.91202	0.20824	0.01852	0.00238	0.03289	0.01156	0.00067	0.04868	0.37737	0.00529	0.86459	0.70462
0.58452	0.64675	0.00108	0.89753	0.2237	0.00745	0.00373	0.05922	0.01983	0.00082	0.0513	0.2905	0.00407	0.88136	0.72629
0.71462	0.64009	0.00177	0.88063	0.18875	0.01093	0.00528	0.08747	0.02116	0.0012	0.07293	0.34103	0.00604	0.92953	0.70033
0.70783	0.63964	0.00086	0.83822	0.19134	0.00708	0.00228	0.0827	0.01989	0.00056	0.0842	0.37029	0.00468	0.90485	0.67829
0.71151	0.66124	0.00073	0.88218	0.20051	0.0138	0.00962	0.06197	0.02673	0.0015	0.06174	0.37487	0.00513	0.90472	0.64243
0.68012	0.64444	0.00151	0.88937	0.19972	0.01631	0.00637	0.0763	0.01835	0.00061	0.07732	0.35083	0.00614	0.84316	0.62931
0.63534	0.62306	0.00162	0.87906	0.19361	0.00711	0.00606	0.04534	0.01479	0.00098	0.06951	0.32918	0.00748	0.8805	0.65166
0.63505	0.61712	0.00051	0.89356	0.20814	0.0046	0.00481	0.06961	0.01295	0.0039	0.04762	0.30126	0.00612	0.90712	0.78798
0.63987	0.62685	0.00044	0.88431	0.17508	0.00956	0.00626	0.04759	0.01446	0.00296	0.0521	0.321	0.00656	0.93116	0.77362
0.53125	0.6298	0.00068	0.929	0.2191	0.01012	0.00513	0.04008	0.01099	0.00079	0.04609	0.30768	0.00767	0.87937	0.70725
0.67529	0.61967	0.00104	0.86587	0.18651	0.00656	0.00336	0.05033	0.01329	0.00094	0.0684	0.35223	0.00727	0.85353	0.71427
0.64172	0.61173	0.00132	0.89168	0.18865	0.00538	0.00491	0.07024	0.01299	0.00342	0.06568	0.31568	0.00526	0.87248	0.77952
0.66694	0.59669	0.00098	0.90046	0.17029	0.02311	0.00681	0.04528	0.00801	0.00125	0.05461	0.31842	0.00628	0.90407	0.79729
0.71902	0.61908	0.00065	0.92756	0.18053	0.00702	0.00161	0.05455	0.01632	0.00098	0.07922	0.27246	0.00599	0.89655	0.7875
0.61891	0.62686	0.00083	0.91735	0.18794	0.01433	0.00381	0.06644	0.01403	0.00058	0.03254	0.30293	0.00589	0.90412	0.79977
0.65383	0.62502	0.00103	0.89931	0.18273	0.00646	0.00279	0.05239	0.01277	0.00384	0.05306	0.32728	0.00513	0.89105	0.77195
0.6292	0.62248	0.00117	0.87692	0.21707	0.0119	0.00325	0.04722	0.01474	0.00085	0.04343	0.34423	0.00298	0.8976	0.72363
0.5894	0.57969	0.00118	0.93699	0.21177	0.01748	0.00696	0.04711	0.01299	0.00448	0.02834	0.37166	0.00705	0.881	0.72809
0.61696	0.62115	0.0007	0.92618	0.18648	0.01189	0.00228	0.05402	0.01853	0.00285	0.08097	0.31004	0.00674	0.92646	0.71917
0.641	0.62628	0.00085	0.90072	0.19153	0.0071	0.00208	0.0378	0.02343	0.00057	0.03962	0.29435	0.00383	0.87875	0.7132
0.61898	0.60632	0.00077	0.94831	0.19312	0.02065	0.00362	0.03241	0.00688	0.00209	0.05342	0.32816	0.00677	0.89525	0.76259
0.66013	0.59365	0.00179	0.9475	0.18371	0.01446	0.00472	0.02674	0.00885	0.00172	0.05081	0.29761	0.00585	0.93511	0.83436
0.63443	0.6272	0.00123	0.93279	0.18834	0.01791	0.00596	0.0468	0.01219	0.00151	0.043	0.2573	0.00653	0.93133	0.75071
0.62546	0.59565	0.00124	0.95166	0.17906	0.02357	0.00503	0.02536	0.0123	0.00059	0.04291	0.2793	0.00427	0.91227	0.80289
0.61165	0.60386	0.00087	0.95398	0.20042	0.02115	0.00152	0.05259	0.01191	0.00439	0.0458	0.31564	0.00376	0.89942	0.74958
0.57154	0.62438	0.00055	0.95825	0.20572	0.03048	0.00219	0.03869	0.00851	0.00073	0.06945	0.3463	0.00771	0.88405	0.68663
0.55291	0.62282	0.00123	0.96069	0.20431	0.02458	0.003	0.03231	0.01372	0.00069	0.04378	0.34964	0.00524	0.90293	0.68188
0.55391	0.6419	0.00065	0.94153	0.20084	0.01005	0.00247	0.0435	0.01833	0.0006	0.0339	0.30891	0.00518	0.89168	0.71358
0.59303	0.67779	0.00148	0.90601	0.20488	0.00708	0.00659	0.04431	0.01429	0.0007	0.03554	0.30177	0.00805	0.89844	0.69387
0.66833	0.63277	0.00071	0.91139	0.18788	0.02019	0.00583	0.06662	0.01227	0.00476	0.05383	0.32866	0.00547	0.88944	0.7276
0.61828	0.69093	0.00112	0.88245	0.25342	0.00185	0.00208	0.05646	0.02444	0.00067	0.02913	0.2981	0.00539	0.92084	0.79865
0.63767	0.64327	0.00117	0.90734	0.22457	0.01144	0.00858	0.05355	0.02004	0.00052	0.05182	0.36433	0.00396	0.91827	0.76805
0.56026	0.61536	0.00107	0.94472	0.20553	0.01136	0.00211	0.06332	0.01539	0.00139	0.04264	0.27119	0.00396	0.92126	0.721
0.5649	0.61536	0.00175	0.95562	0.21468	0.01534	0.00259	0.03684	0.01239	0.00323	0.0498	0.30856	0.00361	0.92163	0.71368
0.57474	0.62486	0.00102	0.94272	0.17412	0.01429	0.00465	0.06176	0.01194	0.0043	0.03657	0.2663	0.00717	0.91913	0.70158
0.6234	0.64591	0.00045	0.88824	0.21346	0.02347	0.00408	0.04297	0.01519	0.00105	0.05573	0.28733	0.00515	0.89057	0.74676
0.63225	0.61716	0.00081	0.84533	0.19099	0.00924	0.0037	0.05005	0.01124	0.00116	0.05026	0.29088	0.00349	0.88436	0.70466
0.63027	0.62886	0.00135	0.87613	0.20396	0.02145	0.00163	0.04566	0.01559	0.00278	0.06127	0.31239	0.00494	0.87609	0.61541
0.60601	0.58569	0.00073	0.91763	0.2381	0.0184	0.00546	0.02848	0.01117	0.00315	0.0458	0.32863	0.00579	0.90736	0.70675
0.58333	0.64099	0.00082	0.87127	0.21906	0.02034	0.00456	0.02512	0.01453	0.0006	0.03323	0.25722	0.0048	0.90967	0.7721
0.65563	0.60149	0.00066	0.91752	0.22849	0.02593	0.00544	0.03993	0.01685	0.00058	0.05646	0.31364	0.00631	0.90619	0.7798
0.61965	0.65299	0.00118	0.89564	0.198	0.0263	0.00996	0.04142	0.01614	0.00068	0.04123	0.30861	0.00732	0.8717	0.78779
0.66886	0.62407	0.00109	0.8978	0.21025	0.02332	0.0032	0.05744	0.01523	0.00339	0.04124	0.33605	0.0052	0.88054	0.72185
